Item_ID,Description
I1,Exciting sci-fi adventure in space with alien encounters and thrilling action.
I2,A heartwarming drama about family relationships and personal growth.
I3,Hilarious comedy featuring witty dialogue and slapstick humor.
I4,Intriguing mystery with a complex plot and unexpected twists.
I5,Educational documentary exploring the wonders of the natural world and wildlife.
I6,Fast-paced action thriller with car chases and intense fight sequences.
I7,Touching romantic comedy about two people finding love in unexpected circumstances.
I8,Thought-provoking science fiction dealing with artificial intelligence and ethics.
I9,Silly animated movie for kids with talking animals and musical numbers.
I10,Gripping crime drama focusing on police investigations and moral dilemmas.
